ProductID,ProductName,ProductBrand,Gender,Price,Description,PrimaryColor
1000,Presto Fly 3,Nike,Women,10999,Lightweight and breathable running shoes with a flexible sole and supportive upper,Pink
1001,Superstar Bold 2,Adidas,Men,11999,Classic basketball shoes with a modern twist and bold design,Black
1002,Old Skool Lite 3,Vans,Unisex,4999,Iconic skateboarding shoes with a relaxed fit and lightweight sole,Grey
1003,Air Zoom Structure 2,Nike,Men,12999,Supportive and responsive running shoes with a breathable upper and flexible sole,Blue
1004,Flyknit Racer,Nike,Women,9999,Lightweight and breathable running shoes,Pink
1005,Superstar Foundation,Adidas,Men,7999,Classic basketball shoes with a modern twist,White
1006,Old Skool,Vans,Unisex,4499,Iconic skateboarding shoes with a relaxed fit,Navy
1007,Air Zoom Pegasus,Nike,Women,10999,Responsive and supportive running shoes,Purple
1008,Stan Smith,Adidas,Unisex,6999,Classic tennis shoes with a minimalist design,Green
1009,Sk8-Hi MTE,Vans,Men,5299,Water-resistant skateboarding shoes with a rugged sole,Brown
1010,Free RN 2,Nike,Women,8999,Flexible and lightweight running shoes,Blue
1011,Yung-1,Adidas,Men,9999,Retro-inspired running shoes with a bold design,Grey
1012,Authentic,Vans,Unisex,3999,Classic deck shoes with a relaxed fit,Red
1013,Air Force 1,Nike,Unisex,10999,Iconic basketball shoes with a bold design,Black
1014,Gazelle,Adidas,Women,7999,Retro-inspired running shoes with a sleek design,White
1015,Era,Vans,Men,4999,Classic skateboarding shoes with a low-profile sole,Navy
1016,Presto Fly,Nike,Women,8999,Lightweight and breathable running shoes,Pink
1017,Superstar Bold,Adidas,Men,9999,Classic basketball shoes with a modern twist,Black
1018,Old Skool Lite,Vans,Unisex,3999,Iconic skateboarding shoes with a relaxed fit and lightweight sole,Grey
1019,Air Zoom Structure,Nike,Men,10999,Supportive and responsive running shoes,Blue
1020,Stan Smith Bold,Adidas,Unisex,7999,Classic tennis shoes with a bold design,Red
1021,Sk8-Hi Pro,Vans,Men,5999,Water-resistant skateboarding shoes with a rugged sole,Brown
1022,Free RN Flyknit,Nike,Women,9999,Flexible and lightweight running shoes with a breathable upper,Purple
1023,Yung-96,Adidas,Men,8999,Retro-inspired running shoes with a bold design,Grey
1024,Authentic Lite,Vans,Unisex,3499,Classic deck shoes with a relaxed fit and lightweight sole,Navy
1025,Air Max 270,Nike,Unisex,10999,Max Air unit for maximum comfort and impact protection,Black
1026,Gazelle Bold,Adidas,Women,8999,Retro-inspired running shoes with a sleek design and bold colors,White
1027,Era Pro,Vans,Men,5499,Classic skateboarding shoes with a low-profile sole and supportive upper,Red
1028,Presto Fly 2,Nike,Women,9999,Lightweight and breathable running shoes with a flexible sole,Pink
1029,Superstar Foundation 2,Adidas,Men,10999,Classic basketball shoes with a modern twist and bold design,Black
1030,Old Skool Lite 2,Vans,Unisex,4499,Iconic skateboarding shoes with a relaxed fit and lightweight sole,Grey
1031,Air Zoom Pegasus 2,Nike,Women,11999,Responsive and supportive running shoes with a breathable upper,Purple
1032,Stan Smith Pro,Adidas,Unisex,8999,Classic tennis shoes with a bold design and supportive upper,Red
1033,Sk8-Hi MTE 2,Vans,Men,6299,Water-resistant skateboarding shoes with a rugged sole and supportive upper,Brown
1034,Free RN 3,Nike,Women,10999,Flexible and lightweight running shoes with a breathable upper and flexible sole,Blue
1035,Yung-1 Pro,Adidas,Men,10999,Retro-inspired running shoes with a bold design and supportive upper,Grey
1036,Authentic Pro,Vans,Unisex,4999,Classic deck shoes with a relaxed fit and supportive upper,Navy
1037,Air Force 1 Pro,Nike,Unisex,12999,Iconic basketball shoes with a bold design and supportive upper,Black
1038,Gazelle Pro,Adidas,Women,9999,Retro-inspired running shoes with a sleek design and supportive upper,White
1039,Era Pro 2,Vans,Men,5999,Classic skateboarding shoes with a low-profile sole and supportive upper,Red
1040,Era Pro 2,Vans,Men,5999,Classic skateboarding shoes with a low-profile sole and supportive upper,Red
1041,Presto Fly 3,Nike,Women,10999,Lightweight and breathable running shoes with a flexible sole and supportive upper,Pink
1042,Superstar Bold 2,Adidas,Men,11999,Classic basketball shoes with a modern twist and bold design,Black
1043,Old Skool Lite 3,Vans,Unisex,4999,Iconic skateboarding shoes with a relaxed fit and lightweight sole,Grey
1044,Air Zoom Structure 2,Nike,Men,12999,Supportive and responsive running shoes with a breathable upper and flexible sole,Blue
1045,Stan Smith Bold 2,Adidas,Unisex,9999,Classic tennis shoes with a bold design and supportive upper,Red
1046,Sk8-Hi Pro 2,Vans,Men,6999,Water-resistant skateboarding shoes with a rugged sole and supportive upper,Brown
1047,Air Force 1 Pro 2,Nike,Unisex,13999,Iconic basketball shoes with a bold design and supportive upper,Navy
1048,Gazelle Pro 2,Adidas,Women,10999,Retro-inspired running shoes with a sleek design and supportive upper,Purple
1049,Era Pro 3,Vans,Men,6499,Classic skateboarding shoes with a low-profile sole and supportive upper,Grey
1050,Presto Fly 4,Nike,Women,11999,Lightweight and breathable running shoes with a flexible sole and supportive upper,Pink
1051,Superstar Bold 3,Adidas,Men,12999,Classic basketball shoes with a modern twist and bold design,Black
1052,Old Skool Lite 4,Vans,Unisex,5499,Iconic skateboarding shoes with a relaxed fit and lightweight sole,Brown
1053,Air Zoom Structure 3,Nike,Men,14999,Supportive and responsive running shoes with a breathable upper and flexible sole,Blue
1054,Stan Smith Bold 3,Adidas,Unisex,10999,Classic tennis shoes with a bold design and supportive upper,Red
1055,Sk8-Hi Pro 3,Vans,Men,7499,Water-resistant skateboarding shoes with a rugged sole and supportive upper,Grey
1056,Air Force 1 Pro 3,Nike,Unisex,14999,Iconic basketball shoes with a bold design and supportive upper,Navy
1057,Gazelle Pro 3,Adidas,Women,11999,Retro-inspired running shoes with a sleek design and supportive upper,Purple
1058,Era Pro 4,Vans,Men,6999,Classic skateboarding shoes with a low-profile sole and supportive upper,Red
1059,Presto Fly 5,Nike,Women,12999,Lightweight and breathable running shoes with a flexible sole and supportive upper,Pink
1060,Superstar Bold 4,Adidas,Men,13999,Classic basketball shoes with a modern twist and bold design,Black
1061,Old Skool Lite 5,Vans,Unisex,5999,Iconic skateboarding shoes with a relaxed fit and lightweight sole,Brown
1062,Air Zoom Structure 4,Nike,Men,15999,Supportive and responsive running shoes with a breathable upper and flexible sole,Blue
1063,Stan Smith Bold 4,Adidas,Unisex,11999,Classic tennis shoes with a bold design and supportive upper,Red
1064,Sk8-Hi Pro 4,Vans,Men,7999,Water-resistant skateboarding shoes with a rugged sole and supportive upper,Grey
1065,Air Force 1 Pro 4,Nike,Unisex,15999,Iconic basketball shoes with a bold design and supportive upper,Navy
